name,kind,repo,version,stability,protocol_version,praxist_core,entrypoint,tool_names,auth,auth_established,stars,url,added,description
"claude_sdk","agent_runtime","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/agent_runtimes/claude_sdk","2026-08-28","Claude SDK runtime adapter with AgentRunRequest execution, legacy BaseAgent compatibility, and redacted transcript conformance."
"codex_sdk","agent_runtime","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/agent_runtimes/codex_sdk","2026-08-28","Official Codex Python SDK runtime using long-lived local app-server clients."
"default_basic","budget_policy","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/budget_policies/default_basic","2026-08-28","Generic deterministic budget policy alias for internal smoke."
"finding_graph_mvp","graph_maintainer","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/graph_maintainers/finding_graph_mvp","2026-08-28","Compatibility descriptor for the existing finding graph guidance engine."
"anthropic_messages","model_provider","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/model_providers/anthropic_messages","2026-08-28","Anthropic messages provider adapter spec."
"deepseek_alias","model_provider","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/model_providers/deepseek_alias","2026-08-28","DeepSeek alias on the OpenAI-compatible adapter path."
"openai_compatible","model_provider","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/model_providers/openai_compatible","2026-08-28","OpenAI-compatible provider adapter spec."
"openrouter","model_provider","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/model_providers/openrouter","2026-08-28","OpenRouter provider adapter spec."
"legacy_multi_pi_two_round","panel_topology","sapientinc/PRAXIST","0.1.0","v1_stable","1",">=0.1.0,<1.0","false","","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/panel_topologies/legacy_multi_pi_two_round","2026-08-28","Generic legacy-compatible Multi-PI topology: evidence pack, independent memos, anonymized cross-review, Chair agenda."
"arxiv","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","arxiv_search;arxiv_get;arxiv_recent","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/arxiv","2026-08-28","Provider-agnostic arxiv search + metadata MCP tools — Atom-XML over the public arxiv API (#128)."
"brave_search","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","web_search","BRAVE_API_KEY","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/brave_search","2026-08-28","Provider-agnostic web_search MCP tool backed by Brave Search REST API (#109)."
"browser","tool_server","sapientinc/PRAXIST","0.1.0","experimental","1",">=0.1.0,<1.0","true","web_read","no key","true","6379","https://github.com/sapientinc/PRAXIST/tree/HEAD/praxist/plugins/tools/browser","2026-08-28","Provider-agnostic web_read MCP tool — extract main text from a URL (#128)."
